"","X","dvcat","weight","dead","airbag","seatbelt","frontal","sex","ageOFocc","yearacc","yearVeh","abcat","occRole","deploy","injSeverity","caseid"
"5387",5387,"25-39",228.396999999881,"alive","airbag","belted",0,"m",62,1998,1996,"deploy","driver",1,0,"12:108:2"
"5389",5389,"25-39",383.679999999702,"alive","none","belted",1,"f",20,1998,1993,"unavail","driver",0,1,"12:116:1"
"5392",5392,"10-24",281.69299999997,"alive","none","belted",0,"m",19,1998,1990,"unavail","driver",0,0,"12:118:2"
"5393",5393,"10-24",281.69299999997,"alive","none","belted",0,"f",19,1998,1990,"unavail","pass",0,1,"12:118:2"
"5395",5395,"10-24",31.1549999997951,"alive","none","none",1,"f",23,1998,1992,"unavail","driver",0,3,"12:121:1"
"5396",5396,"25-39",31.1549999997951,"alive","none","none",1,"m",21,1998,1990,"unavail","driver",0,3,"12:121:2"
"5397",5397,"55+",173.348999999464,"dead","none","none",1,"f",54,1998,1984,"unavail","driver",0,2,"12:123:1"
"5398",5398,"10-24",478.190999999642,"alive","none","belted",0,"f",27,1998,1994,"unavail","driver",0,0,"12:124:1"
"5403",5403,"25-39",31.1549999997951,"alive","none","belted",1,"f",60,1998,1993,"unavail","driver",0,2,"12:127:2"
"5405",5405,"10-24",124.422999999486,"alive","airbag","belted",1,"f",38,1998,1998,"deploy","driver",1,0,"12:128:1"
"5408",5408,"10-24",124.422999999486,"alive","airbag","none",0,"m",25,1998,1998,"deploy","pass",1,1,"12:128:2"
"5409",5409,"10-24",124.422999999486,"alive","airbag","belted",0,"m",34,1998,1997,"deploy","driver",1,1,"12:129:1"
"5411",5411,"40-54",27.4819999998435,"alive","none","none",1,"m",26,1998,1988,"unavail","driver",0,3,"12:131:3"
"5412",5412,"25-39",31.1549999997951,"alive","airbag","belted",1,"m",75,1998,1995,"deploy","driver",1,2,"12:132:1"
"5413",5413,"25-39",31.1549999997951,"alive","airbag","belted",1,"f",70,1998,1995,"deploy","pass",1,2,"12:132:1"
"5414",5414,"10-24",31.1549999997951,"alive","airbag","belted",1,"m",36,1998,1992,"deploy","driver",1,1,"12:132:2"
"5419",5419,"25-39",366.392999999225,"alive","airbag","belted",0,"f",83,1998,1995,"nodeploy","pass",0,0,"12:136:2"
"5421",5421,"25-39",1010.70899999887,"alive","none","belted",1,"f",36,1998,1983,"unavail","pass",0,0,"12:137:1"
"5424",5424,"10-24",116.389999999665,"alive","airbag","belted",0,"m",25,1998,1995,"deploy","driver",1,1,"12:139:1"
"5425",5425,"10-24",116.389999999665,"alive","none","belted",1,"f",34,1998,1987,"unavail","driver",0,1,"12:139:2"
"5427",5427,"10-24",276.267999999225,"alive","none","none",1,"m",34,1998,1976,"unavail","driver",0,2,"12:140:1"
"5428",5428,"10-24",276.267999999225,"alive","none","none",1,"m",31,1998,1976,"unavail","pass",0,2,"12:140:1"
"5429",5429,"10-24",3014.19599997997,"alive","none","belted",1,"m",35,1998,1984,"unavail","driver",0,1,"12:144:1"
"5430",5430,"25-39",31.1549999997951,"alive","none","none",1,"m",19,1998,1994,"unavail","driver",0,3,"12:146:1"
"5435",5435,"25-39",826.93599999696,"alive","airbag","belted",1,"m",30,1998,1995,"deploy","driver",1,0,"12:149:1"
"5437",5437,"10-24",93.7229999992996,"alive","airbag","belted",0,"f",30,1998,1997,"nodeploy","driver",0,1,"12:150:2"
"5440",5440,"10-24",166.029999999329,"alive","none","none",1,"f",53,1998,1985,"unavail","driver",0,2,"12:151:2"
"5441",5441,"40-54",166.029999999329,"alive","none","none",0,"m",25,1998,1983,"unavail","driver",0,2,"12:152:2"
"5443",5443,"10-24",458,"alive","none","belted",1,"m",49,1998,1980,"unavail","driver",0,0,"12:154:1"
"5444",5444,"40-54",31.1549999997951,"alive","none","none",1,"m",31,1998,1990,"unavail","driver",0,2,"12:155:1"
"5445",5445,"40-54",31.1549999997951,"alive","none","none",0,"m",50,1998,1991,"unavail","driver",0,3,"12:155:2"
"5446",5446,"55+",60.4409999996424,"alive","none","belted",1,"m",25,1998,1990,"unavail","driver",0,3,"12:156:1"
"5451",5451,"55+",27.4819999998435,"alive","none","belted",1,"f",36,1998,1991,"unavail","driver",0,3,"12:160:2"
"5453",5453,"25-39",27.4819999998435,"alive","none","belted",1,"m",51,1998,1982,"unavail","driver",0,0,"12:160:4"
"5456",5456,"10-24",223.839999999851,"alive","airbag","none",1,"m",71,1998,1995,"deploy","driver",1,1,"12:163:1"
"5457",5457,"10-24",763.676999993622,"alive","airbag","belted",0,"f",21,1998,1997,"deploy","driver",1,0,"12:164:1"
"5459",5459,"25-39",139.387999998406,"alive","airbag","belted",1,"f",41,1998,1998,"deploy","driver",1,1,"12:165:1"
"5460",5460,"25-39",139.387999998406,"alive","none","belted",1,"m",36,1998,1991,"unavail","driver",0,0,"12:165:2"
"5461",5461,"25-39",330.85699999705,"alive","none","belted",1,"f",24,1998,1990,"unavail","driver",0,2,"12:166:1"
"5462",5462,"25-39",330.85699999705,"alive","none","belted",1,"m",19,1998,1990,"unavail","pass",0,1,"12:166:1"
"5467",5467,"25-39",32.4669999997132,"alive","airbag","none",1,"m",38,1998,1993,"deploy","driver",1,0,"12:170:1"
"5469",5469,"10-24",1145.58499999344,"alive","airbag","belted",0,"m",69,1998,1998,"nodeploy","driver",0,0,"12:176:1"
"5472",5472,"40-54",31.1549999997951,"alive","none","none",0,"f",23,1998,1986,"unavail","driver",0,3,"12:177:2"
"5473",5473,"40-54",31.1549999997951,"alive","none","none",0,"m",25,1998,1986,"unavail","pass",0,0,"12:177:2"
"5475",5475,"10-24",113.521999999881,"alive","airbag","belted",1,"f",28,1998,1997,"deploy","driver",1,1,"12:178:2"
"5476",5476,"25-39",269.461999997497,"alive","none","belted",0,"m",30,1998,1992,"unavail","driver",0,2,"12:180:1"
"5477",5477,"10-24",60.4409999996424,"alive","airbag","belted",1,"f",16,1998,1998,"deploy","driver",1,0,"12:182:1"
"5478",5478,"10-24",60.4409999996424,"alive","airbag","belted",1,"m",17,1998,1998,"deploy","pass",1,0,"12:182:1"
"5483",5483,"25-39",32.4669999997132,"dead","airbag","none",1,"m",37,1998,1990,"deploy","driver",1,4,"12:186:1"
"5485",5485,"10-24",1136.20899999142,"alive","none","belted",1,"f",40,1998,1987,"unavail","driver",0,2,"12:188:1"
"5488",5488,"25-39",18.8309999997728,"alive","airbag","belted",0,"m",22,1998,1997,"deploy","driver",1,2,"12:191:1"
"5489",5489,"25-39",18.8309999997728,"alive","airbag","none",0,"f",17,1998,1997,"deploy","pass",1,3,"12:191:1"
"5491",5491,"25-39",26.7689999998547,"alive","none","belted",1,"m",19,1998,1994,"unavail","driver",0,0,"12:193:2"
"5492",5492,"25-39",26.7689999998547,"alive","none","belted",1,"f",18,1998,1994,"unavail","pass",0,3,"12:193:2"
"5493",5493,"10-24",570.640999995172,"alive","none","none",1,"f",26,1998,1994,"unavail","driver",0,0,"12:196:1"
"5494",5494,"25-39",127.539999999106,"alive","airbag","belted",1,"m",44,1998,1997,"deploy","driver",1,0,"12:197:1"
"5499",5499,"10-24",302.734999999404,"alive","none","none",0,"f",25,1998,1989,"unavail","driver",0,2,"12:199:1"
"5501",5501,"40-54",102.812999999151,"alive","none","none",1,"m",37,1998,1990,"unavail","driver",0,3,"12:201:1"
"5504",5504,"25-39",266.071999996901,"alive","none","none",1,"m",19,1998,1978,"unavail","driver",0,2,"12:203:1"
"5505",5505,"25-39",733.969999998808,"alive","none","belted",0,"m",43,1998,1986,"unavail","driver",0,0,"12:204:2"
"5507",5507,"10-24",60.4409999996424,"alive","none","belted",1,"f",16,1998,1991,"unavail","pass",0,3,"12:205:1"
"5508",5508,"10-24",60.4409999996424,"alive","none","none",0,"f",17,1998,1989,"unavail","driver",0,1,"12:205:2"
"5509",5509,"10-24",60.4409999996424,"alive","none","none",0,"f",16,1998,1989,"unavail","pass",0,2,"12:205:2"
"5510",5510,"55+",41.0689999996684,"dead","none","none",0,"m",20,1998,1989,"unavail","driver",0,4,"12:206:1"
"5515",5515,"40-54",18.1219999999739,"alive","none","belted",0,"f",19,1998,1989,"unavail","pass",0,2,"12:210:2"
"5517",5517,"40-54",31.1549999997951,"alive","none","none",0,"m",72,1998,1989,"unavail","driver",0,3,"12:211:2"
"5520",5520,"10-24",1142.75799998641,"alive","none","belted",0,"f",29,1998,1987,"unavail","driver",0,1,"12:213:1"
"5521",5521,"10-24",102.812999999151,"alive","none","belted",1,"f",73,1998,1990,"unavail","driver",0,3,"12:215:1"
"5523",5523,"10-24",102.812999999151,"alive","none","belted",1,"m",25,1998,1990,"unavail","pass",0,0,"12:215:2"
"5524",5524,"10-24",109.599999999627,"alive","airbag","belted",1,"m",34,1998,1998,"nodeploy","driver",0,0,"12:216:1"
"5525",5525,"10-24",109.599999999627,"alive","airbag","belted",1,"f",32,1998,1998,"nodeploy","pass",0,0,"12:216:1"
"5526",5526,"10-24",109.599999999627,"alive","airbag","belted",0,"m",39,1998,1998,"nodeploy","driver",0,0,"12:216:2"
"5531",5531,"25-39",31.1549999997951,"alive","none","belted",0,"m",30,1998,1985,"unavail","driver",0,1,"12:219:1"
"5533",5533,"10-24",31.1549999997951,"alive","none","belted",1,"f",34,1998,1985,"unavail","driver",0,3,"12:219:2"
"5536",5536,"25-39",31.1549999997951,"alive","none","none",1,"f",43,1998,1987,"unavail","driver",0,3,"12:221:1"
"5537",5537,"25-39",31.1549999997951,"alive","none","none",1,"m",38,1998,1987,"unavail","pass",0,2,"12:221:1"
"5539",5539,"25-39",28.4399999999441,"alive","none","belted",1,"m",18,1998,1987,"unavail","driver",0,1,"12:222:1"
"5540",5540,"25-39",28.4399999999441,"alive","airbag","belted",0,"f",55,1998,1996,"deploy","driver",1,3,"12:222:2"
"5541",5541,"55+",1744.0869999975,"alive","none","belted",0,"f",18,1998,1984,"unavail","driver",0,1,"12:223:1"
"5542",5542,"40-54",1744.0869999975,"alive","none","none",1,"m",23,1998,1981,"unavail","driver",0,0,"12:223:2"
"5547",5547,"40-54",630.991999998689,"alive","none","none",1,"m",40,1998,1992,"unavail","pass",0,1,"12:227:1"
"5549",5549,"25-39",561.850999996066,"alive","airbag","belted",0,"m",42,1998,1998,"deploy","driver",1,1,"12:229:2"
"5552",5552,"1-9km/h",179.953999999911,"alive","airbag","belted",0,"m",74,1998,1998,"nodeploy","driver",0,0,"12:231:2"
"5553",5553,"1-9km/h",179.953999999911,"alive","airbag","belted",0,"f",58,1998,1998,"nodeploy","pass",0,3,"12:231:2"
"5555",5555,"25-39",613.94999999553,"alive","airbag","belted",0,"f",47,1998,1998,"nodeploy","driver",0,0,"12:232:2"
"5556",5556,"25-39",613.94999999553,"alive","airbag","belted",0,"f",30,1998,1998,"nodeploy","pass",0,0,"12:232:2"
"5557",5557,"10-24",613.94999999553,"alive","airbag","belted",1,"m",24,1998,1996,"deploy","driver",1,0,"12:233:1"
"5558",5558,"10-24",613.94999999553,"alive","airbag","belted",0,"f",46,1998,1992,"deploy","driver",1,0,"12:233:2"
"5563",5563,"25-39",31.1549999997951,"alive","none","belted",1,"m",25,1998,1987,"unavail","driver",0,3,"12:238:2"
"5565",5565,"55+",32.4669999997132,"dead","airbag","none",0,"f",25,1998,1998,"deploy","driver",1,4,"12:241:1"
"5568",5568,"25-39",115.565999999642,"alive","none","none",1,"m",31,1998,1986,"unavail","driver",0,2,"12:242:1"
"5569",5569,"10-24",0,"alive","airbag","belted",1,"f",71,1998,1998,"deploy","driver",1,2,"12:801:1"
"5571",5571,"10-24",0,"alive","airbag","belted",1,"f",19,1998,1998,"deploy","driver",1,1,"12:803:2"
"5572",5572,"10-24",0,"alive","airbag","none",1,"f",45,1998,1998,"deploy","driver",1,2,"12:804:1"
"5573",5573,"10-24",0,"alive","airbag","belted",1,"f",16,1998,1998,"deploy","driver",1,0,"12:805:2"
"5574",5574,"25-39",0,"alive","airbag","none",1,"m",54,1998,1999,"deploy","driver",1,2,"12:806:1"
"5579",5579,"10-24",150.941999999806,"alive","airbag","belted",0,"m",50,1998,1994,"nodeploy","driver",0,0,"13:3:1"
"5581",5581,"25-39",1160.76199999452,"alive","airbag","belted",1,"f",50,1998,1994,"deploy","driver",1,2,"13:4:2"
"5584",5584,"10-24",218.082999998704,"alive","airbag","belted",1,"m",39,1998,1994,"deploy","driver",1,2,"13:15:1"
"5585",5585,"10-24",218.082999998704,"alive","airbag","belted",1,"m",34,1998,1994,"deploy","pass",1,1,"13:15:1"
"5587",5587,"10-24",218.082999998704,"alive","none","belted",1,"f",59,1998,1989,"unavail","pass",0,1,"13:16:1"
"5588",5588,"25-39",86.9859999995679,"alive","none","none",1,"m",21,1998,1992,"unavail","driver",0,3,"13:20:2"
"5589",5589,"25-39",86.9859999995679,"alive","none","belted",1,"m",17,1998,1992,"unavail","pass",0,0,"13:20:2"
"5590",5590,"55+",158.684999998659,"alive","none","belted",1,"m",69,1998,1985,"unavail","driver",0,1,"13:21:1"
"5595",5595,"25-39",520.583999998868,"alive","none","belted",1,"m",45,1998,1992,"unavail","driver",0,1,"13:23:2"
"5597",5597,"10-24",935.852999992669,"alive","none","belted",1,"f",67,1998,1990,"unavail","driver",0,1,"13:25:1"
"5600",5600,"10-24",86.9859999995679,"alive","none","none",1,"f",44,1998,1987,"unavail","driver",0,0,"13:26:2"
"5601",5601,"1-9km/h",86.9859999995679,"alive","none","belted",0,"f",70,1998,1992,"unavail","driver",0,0,"13:28:1"
"5603",5603,"1-9km/h",86.9859999995679,"alive","airbag","belted",0,"m",57,1998,1994,"nodeploy","driver",0,3,"13:32:1"
"5604",5604,"10-24",605.376999996603,"alive","airbag","belted",1,"f",63,1998,1996,"nodeploy","driver",0,0,"13:34:1"
"5605",5605,"1-9km/h",605.376999996603,"alive","none","belted",0,"f",18,1998,1986,"unavail","driver",0,0,"13:35:1"
"5606",5606,"1-9km/h",605.376999996603,"alive","none","belted",0,"m",16,1998,1986,"unavail","pass",0,0,"13:35:1"
"5611",5611,"1-9km/h",483.460999999195,"alive","airbag","belted",1,"m",49,1998,1997,"nodeploy","driver",0,0,"13:41:1"
"5613",5613,"25-39",727.182999998331,"alive","airbag","none",1,"f",34,1998,1992,"deploy","driver",1,0,"13:43:1"
"5616",5616,"1-9km/h",86.9859999995679,"alive","none","belted",1,"f",31,1998,1992,"unavail","driver",0,3,"13:45:2"
"5617",5617,"1-9km/h",79.3429999994114,"alive","airbag","belted",0,"m",23,1998,1995,"nodeploy","driver",0,1,"13:47:1"
"5619",5619,"10-24",260.291999999434,"alive","none","belted",1,"m",50,1998,1984,"unavail","driver",0,0,"13:48:2"
"5620",5620,"10-24",467.925999999046,"alive","none","none",1,"m",23,1998,1989,"unavail","driver",0,2,"13:49:1"
"5621",5621,"10-24",467.925999999046,"alive","none","belted",1,"f",17,1998,1989,"unavail","driver",0,0,"13:50:1"
"5622",5622,"10-24",467.925999999046,"alive","airbag","belted",0,"m",42,1998,1996,"deploy","driver",1,1,"13:50:2"
"5627",5627,"10-24",410.369999997318,"alive","none","belted",1,"m",20,1998,1981,"unavail","driver",0,2,"13:55:1"
"5629",5629,"10-24",737.72199999541,"alive","none","belted",0,"m",49,1998,1991,"unavail","driver",0,0,"13:57:1"
"5632",5632,"25-39",86.6239999998361,"alive","airbag","none",0,"f",61,1998,1995,"deploy","driver",1,3,"13:58:2"
"5633",5633,"25-39",86.6239999998361,"alive","none","belted",0,"f",65,1998,1995,"unavail","pass",0,3,"13:58:2"
"5635",5635,"10-24",247.980999998748,"alive","none","none",1,"f",80,1998,1990,"unavail","pass",0,1,"13:59:1"
"5636",5636,"10-24",247.980999998748,"alive","airbag","none",0,"f",24,1998,1998,"nodeploy","driver",0,0,"13:59:2"
"5637",5637,"10-24",316.166999999434,"alive","none","belted",0,"f",71,1998,1982,"unavail","driver",0,0,"13:62:1"
"5638",5638,"25-39",81.5169999999925,"alive","airbag","belted",1,"f",42,1998,1995,"deploy","driver",1,3,"13:64:1"
"5643",5643,"25-39",105.25299999956,"alive","airbag","belted",1,"f",57,1998,1991,"deploy","driver",1,3,"13:66:1"
"5645",5645,"10-24",105.25299999956,"alive","none","none",1,"m",37,1998,1987,"unavail","driver",0,3,"13:67:1"
"5648",5648,"10-24",105.25299999956,"alive","airbag","belted",0,"f",35,1998,1994,"nodeploy","pass",0,3,"13:68:1"
"5649",5649,"10-24",105.25299999956,"alive","none","none",1,"m",26,1998,1986,"unavail","pass",0,0,"13:68:2"
"5651",5651,"10-24",1271.71099999547,"alive","airbag","belted",1,"m",35,1998,1995,"deploy","pass",1,0,"13:69:1"
"5652",5652,"10-24",259.998999997973,"alive","none","none",0,"f",17,1998,1979,"unavail","driver",0,1,"13:70:1"
"5653",5653,"10-24",259.998999997973,"alive","none","none",0,"f",23,1998,1979,"unavail","pass",0,1,"13:70:1"
"5654",5654,"10-24",259.998999997973,"alive","none","belted",1,"f",49,1998,1989,"unavail","driver",0,0,"13:70:2"
"5659",5659,"1-9km/h",467.39999999851,"alive","none","belted",1,"m",17,1998,1986,"unavail","driver",0,0,"13:75:1"
"5661",5661,"40-54",86.9859999995679,"alive","none","belted",1,"m",17,1998,1979,"unavail","pass",0,1,"13:77:1"
"5664",5664,"25-39",316.570999998599,"alive","none","belted",0,"f",30,1998,1985,"unavail","driver",0,1,"13:79:1"
"5665",5665,"25-39",316.570999998599,"alive","none","belted",0,"f",20,1998,1985,"unavail","pass",0,1,"13:79:1"
"5667",5667,"10-24",378.359999999404,"alive","airbag","belted",1,"f",26,1998,1997,"deploy","driver",1,0,"13:80:1"
"5668",5668,"10-24",569.09999999404,"alive","airbag","belted",1,"f",78,1998,1990,"deploy","driver",1,0,"13:81:1"
"5669",5669,"10-24",569.09999999404,"alive","none","belted",1,"f",33,1998,1989,"unavail","driver",0,0,"13:82:1"
"5670",5670,"1-9km/h",75.0539999995381,"alive","airbag","belted",0,"m",41,1998,1994,"nodeploy","driver",0,0,"13:83:1"
"5675",5675,"10-24",168.837999999523,"alive","none","belted",1,"f",20,1998,1989,"unavail","driver",0,3,"13:85:1"
"5677",5677,"10-24",86.9859999995679,"alive","none","belted",1,"m",77,1998,1994,"unavail","driver",0,0,"13:89:1"
"5680",5680,"10-24",297.928999997675,"alive","none","belted",0,"f",35,1998,1989,"unavail","driver",0,0,"13:90:1"
"5681",5681,"10-24",297.928999997675,"alive","none","none",1,"f",27,1998,1993,"unavail","driver",0,0,"13:90:2"
"5683",5683,"10-24",297.928999997675,"alive","none","belted",1,"m",58,1998,1985,"unavail","driver",0,1,"13:91:2"
"5684",5684,"10-24",297.928999997675,"alive","none","none",1,"f",37,1998,1985,"unavail","pass",0,1,"13:91:2"
"5685",5685,"25-39",356.078999999911,"alive","airbag","belted",0,"m",41,1998,1992,"nodeploy","driver",0,0,"13:92:1"
"5686",5686,"25-39",356.078999999911,"alive","airbag","belted",1,"m",41,1998,1996,"deploy","driver",1,0,"13:92:2"
"5691",5691,"25-39",86.9859999995679,"alive","none","belted",1,"m",35,1998,1972,"unavail","driver",0,3,"13:95:2"
"5693",5693,"1-9km/h",232.151999998838,"alive","none","belted",0,"m",57,1998,1985,"unavail","driver",0,2,"13:97:2"
"5696",5696,"10-24",417.339999999851,"alive","none","belted",1,"m",43,1998,1987,"unavail","driver",0,1,"13:99:1"
"5697",5697,"10-24",417.339999999851,"alive","none","none",0,"f",18,1998,1986,"unavail","driver",0,NA,"13:99:2"
"5699",5699,"10-24",81.5169999999925,"dead","none","belted",0,"f",22,1998,1988,"unavail","pass",0,4,"13:101:1"
"5700",5700,"25-39",81.5169999999925,"dead","none","none",1,"m",31,1998,1988,"unavail","driver",0,4,"13:101:2"
"5701",5701,"10-24",86.9859999995679,"alive","none","none",0,"m",17,1998,1989,"unavail","driver",0,3,"13:102:1"
"5702",5702,"10-24",86.9859999995679,"alive","none","none",0,"m",18,1998,1989,"unavail","pass",0,NA,"13:102:1"
"5707",5707,"25-39",81.5169999999925,"alive","none","belted",0,"m",67,1998,1985,"unavail","driver",0,2,"13:107:2"
"5709",5709,"40-54",75.0539999995381,"alive","airbag","belted",1,"m",20,1998,1995,"deploy","driver",1,1,"13:108:1"
"5712",5712,"10-24",210.199999999255,"alive","none","belted",1,"m",18,1998,1985,"unavail","driver",0,1,"13:111:1"
"5713",5713,"10-24",210.199999999255,"alive","airbag","belted",0,"f",40,1998,1996,"nodeploy","driver",0,0,"13:111:2"
"5715",5715,"55+",86.9859999995679,"alive","none","belted",0,"f",18,1998,1989,"unavail","driver",0,3,"13:114:2"
"5716",5716,"25-39",86.9859999995679,"alive","none","none",1,"m",20,1998,1993,"unavail","driver",0,2,"13:116:1"
"5717",5717,"25-39",86.9859999995679,"alive","none","none",1,"f",34,1998,1981,"unavail","driver",0,3,"13:116:2"
"5718",5718,"10-24",187.888999998569,"alive","airbag","belted",0,"f",40,1998,1994,"nodeploy","driver",0,0,"13:117:1"
"5723",5723,"10-24",81.5169999999925,"alive","none","belted",1,"m",59,1998,1980,"unavail","pass",0,0,"13:118:2"
"5725",5725,"25-39",75.0539999995381,"alive","airbag","belted",1,"m",32,1998,1998,"deploy","driver",1,2,"13:121:1"
"5728",5728,"10-24",442.632999997586,"alive","airbag","belted",1,"m",18,1998,1989,"deploy","driver",1,0,"13:123:2"
"5729",5729,"25-39",107.219999999739,"alive","airbag","belted",0,"m",17,1998,1998,"nodeploy","driver",0,1,"13:125:1"
"5731",5731,"55+",351.745999999344,"alive","none","belted",1,"m",18,1998,1989,"unavail","driver",0,2,"13:126:1"
"5732",5732,"10-24",351.745999999344,"alive","airbag","belted",0,"f",60,1998,1993,"nodeploy","driver",0,1,"13:128:1"
"5733",5733,"10-24",351.745999999344,"alive","airbag","belted",1,"f",50,1998,1996,"deploy","driver",1,1,"13:128:2"
"5734",5734,"10-24",632.332999996841,"alive","none","belted",0,"m",22,1998,1987,"unavail","driver",0,0,"13:129:1"
"5739",5739,"1-9km/h",158.28599999845,"alive","none","none",0,"f",32,1998,1994,"unavail","driver",0,0,"13:133:1"
"5741",5741,"10-24",284.54999999702,"alive","none","none",0,"f",18,1998,1985,"unavail","driver",0,0,"13:135:1"
"5744",5744,"10-24",86.6239999998361,"alive","airbag","none",1,"f",77,1998,1995,"deploy","driver",1,1,"13:136:1"
"5745",5745,"10-24",86.6239999998361,"alive","airbag","none",1,"m",84,1998,1995,"deploy","pass",1,3,"13:136:1"
"5747",5747,"10-24",86.6239999998361,"alive","airbag","none",0,"m",56,1998,1993,"nodeploy","pass",0,0,"13:136:2"
"5748",5748,"40-54",86.9859999995679,"alive","none","none",1,"f",26,1998,1994,"unavail","driver",0,3,"13:137:1"
"5749",5749,"10-24",86.9859999995679,"alive","none","belted",0,"f",25,1998,1985,"unavail","driver",0,3,"13:138:1"
"5750",5750,"10-24",340.020999997854,"alive","none","none",0,"m",21,1998,1985,"unavail","driver",0,2,"13:139:1"
"5755",5755,"10-24",611.254999995232,"alive","none","belted",1,"f",24,1998,1988,"unavail","pass",0,1,"13:141:2"
"5757",5757,"25-39",86.9859999995679,"alive","none","none",1,"f",36,1998,1990,"unavail","driver",0,2,"13:142:2"
"5760",5760,"25-39",245.408999999985,"alive","airbag","belted",0,"f",47,1998,1996,"nodeploy","driver",0,0,"13:148:2"
"5761",5761,"10-24",369.123999997973,"alive","none","belted",0,"f",19,1998,1984,"unavail","driver",0,0,"13:149:1"
"5763",5763,"10-24",369.123999997973,"alive","none","belted",1,"f",17,1998,1986,"unavail","driver",0,0,"13:149:2"
"5764",5764,"55+",81.5169999999925,"alive","airbag","none",1,"m",26,1998,1995,"deploy","driver",1,3,"13:150:2"
"5765",5765,"40-54",86.9859999995679,"alive","none","none",1,"m",18,1998,1990,"unavail","driver",0,2,"13:151:1"
"5766",5766,"40-54",86.9859999995679,"alive","none","none",0,"m",21,1998,1982,"unavail","driver",0,3,"13:151:2"
"5771",5771,"10-24",86.9859999995679,"alive","none","belted",0,"f",19,1998,1989,"unavail","driver",0,3,"13:160:1"
"5773",5773,"10-24",86.9859999995679,"alive","none","belted",1,"f",20,1998,1990,"unavail","pass",0,3,"13:160:2"
"5776",5776,"25-39",96.4979999996722,"alive","airbag","none",1,"m",25,1998,1998,"deploy","driver",1,1,"13:161:2"
"5777",5777,"25-39",96.4979999996722,"alive","airbag","none",1,"m",25,1998,1998,"nodeploy","pass",0,2,"13:161:2"
"5779",5779,"10-24",86.9859999995679,"alive","airbag","belted",1,"f",75,1998,1995,"deploy","driver",1,3,"13:163:1"
"5780",5780,"10-24",157.64999999851,"alive","airbag","belted",1,"m",22,1998,1996,"nodeploy","driver",0,0,"13:164:1"
"5781",5781,"25-39",157.64999999851,"alive","none","belted",1,"m",35,1998,1986,"unavail","driver",0,0,"13:164:2"
"5782",5782,"25-39",237.125,"alive","airbag","belted",1,"m",70,1998,1991,"deploy","driver",1,1,"13:166:1"
"5787",5787,"25-39",81.5169999999925,"alive","none","belted",1,"f",70,1998,1984,"unavail","driver",0,3,"13:168:2"
"5789",5789,"10-24",105.523999999277,"alive","none","belted",0,"m",21,1998,1986,"unavail","driver",0,0,"13:172:1"
"5792",5792,"10-24",105.523999999277,"alive","none","belted",1,"m",24,1998,1992,"unavail","pass",0,0,"13:172:2"
"5793",5793,"25-39",84.0799999991432,"alive","airbag","belted",1,"f",58,1998,1998,"nodeploy","driver",0,0,"13:173:1"
"5795",5795,"10-24",63.2329999995418,"alive","none","belted",1,"m",20,1998,1994,"unavail","driver",0,1,"13:175:1"
"5796",5796,"10-24",63.2329999995418,"alive","none","belted",1,"m",22,1998,1994,"unavail","pass",0,1,"13:175:1"
"5797",5797,"55+",81.5169999999925,"alive","none","none",0,"m",18,1998,1990,"unavail","driver",0,3,"13:178:1"
"5798",5798,"55+",81.5169999999925,"alive","none","none",0,"m",46,1998,1990,"unavail","pass",0,3,"13:178:1"
"5803",5803,"10-24",75.0539999995381,"alive","airbag","none",1,"m",36,1998,1998,"deploy","pass",1,0,"13:182:1"
"5805",5805,"25-39",428.932999998331,"alive","none","none",0,"f",20,1998,1991,"unavail","pass",0,0,"13:184:2"
"5808",5808,"25-39",86.6239999998361,"alive","airbag","none",0,"m",37,1998,1997,"deploy","driver",1,1,"13:187:2"
"5809",5809,"25-39",86.6239999998361,"alive","airbag","none",0,"f",34,1998,1997,"deploy","pass",1,3,"13:187:2"
"5811",5811,"25-39",86.9859999995679,"alive","none","none",1,"m",54,1998,1987,"unavail","driver",0,3,"13:190:1"
"5812",5812,"10-24",83.0949999997392,"alive","airbag","belted",1,"f",27,1998,1997,"deploy","driver",1,1,"13:191:2"
"5813",5813,"1-9km/h",83.0949999997392,"alive","airbag","belted",0,"f",28,1998,1995,"nodeploy","driver",0,1,"13:192:1"
"5814",5814,"10-24",325.809999998659,"alive","airbag","belted",0,"f",20,1998,1996,"nodeploy","driver",0,0,"13:193:1"
"5819",5819,"10-24",86.9859999995679,"alive","none","belted",0,"f",36,1998,1992,"unavail","driver",0,3,"13:195:2"
"5821",5821,"25-39",906.343999996781,"alive","none","none",1,"m",17,1998,1987,"unavail","driver",0,1,"13:198:1"
"5824",5824,"25-39",86.9859999995679,"alive","none","none",0,"m",26,1998,1988,"unavail","driver",0,3,"13:203:1"
"5825",5825,"25-39",86.9859999995679,"alive","airbag","belted",1,"m",19,1998,1994,"deploy","driver",1,2,"13:203:2"
"5827",5827,"10-24",289.493999999017,"alive","airbag","none",0,"f",21,1998,1996,"nodeploy","driver",0,2,"13:205:2"
"5828",5828,"10-24",289.493999999017,"alive","airbag","belted",0,"f",20,1998,1996,"nodeploy","pass",0,2,"13:205:2"
"5829",5829,"10-24",86.6239999998361,"alive","airbag","belted",0,"f",48,1998,1998,"nodeploy","driver",0,3,"13:206:1"
